These are the results for a poplation of size 1000 who 20 times have jumped 10 generations.
For each generation, 1000 PMX operations create as many offspring as parents.
After each 1000 PMX operation, an elitist filter is applied to keep the population static and only the best solutions available. 
The sequences are printed to terminal since I'm having trouble writing them to file.
path lengths    sequences: 
  11377.07        4623817095
  11383.38        4361905728
  11384.90        6108239475
  11384.90        7318695204
  11388.08        1549620783
  11388.08        4620351978
  11391.29        1387945206
  11391.40        0472619358
  11392.32        9824037156
  11396.41        5396782140
  11409.41        0357481629
  11410.20        9025387461
  11411.58        1520387469
  11414.64        0815426937
  11414.64        9182506347
  11414.99        3948160275
  11415.07        8235069417
  11417.75        8032671954
  11420.19        7123894065
  11422.86        4038791256
  11424.08        8251639470
  11424.22        9245860731
  11427.69        3851462970
  11431.75        6195472830
  11434.28        0357261498
  11441.43        9354017286
  11454.15        7346059812
  11460.72        0178624593
  11465.76        9610723458
  11465.76        1597086432
  11467.07        1269380754
  11477.03        6401798235
  11484.49        3807915462
  11490.20        7039862154
  11495.02        8054367291
  11495.14        0382619754
  11497.16        2738649051
  11501.70        3819027546
  11508.24        4798013562
  11509.15        1583406297
  11509.15        8219460357
  11509.25        3628451079
  11509.81        6082341759
  11513.42        8409213567
  11517.34        4508639271
  11521.78        7851239460
  11522.95        8469530127
  11524.26        7318695204
  11548.27        4658720913
  11548.27        8670431592
  11548.27        7421839506
  11548.73        4897130256
  11551.90        2731958046
  11553.60        7602498531
  11559.41        9354017286
  11559.78        6015384927
  11561.20        6051798234
  11562.95        8632740951
  11564.38        7152408396
  11566.74        0614937852
  11566.74        0972314568
  11566.74        5168392074
  11567.24        8204769531
  11568.95        6351729408
  11569.19        4182659370
  11569.30        7013856942
  11569.63        9704218653
  11570.42        6347219580
  11572.27        6870194532
  11572.43        0547913268
  11582.45        8537092461
  11582.89        9124073586
  11583.38        7821903564
  11583.95        8564237109
  11584.85        6317294508
  11585.41        2670489153
  11586.65        7104539862
  11592.08        3246197580
  11594.29        7048269153
  11594.29        4598362071
  11596.02        4502763891
  11600.43        4078521693
  11602.22        2348019657
  11602.36        0124358967
  11604.23        2359086471
  11606.63        7806435921
  11609.04        6021793584
  11613.61        2607489153
  11613.61        9360415728
  11613.61        9360415728
  11615.28        4528079631
  11615.28        0512698473
  11618.62        4963528710
  11618.62        9347286051
  11621.41        4627059183
  11627.18        9137425068
  11628.55        9360418725
  11628.55        5403681729
  11628.75        6249370851
  11628.88        6027839451
  11632.72        8257319064
  11638.00        8627504931
  11638.00        6380425971
  11638.00        2987456031
  11647.62        8251639470
  11650.21        7428039156
